Watching for file changes with StatReloader
Waiting for apps ready_event.
Apps ready_event triggered. Sending autoreload_started signal.
Watching dir /app/locale with glob **/*.mo.
Watching dir /app/taskmanager/tasks/locale with glob **/*.mo.
File /usr/local/lib/python3.10/site-packages/sqlparse/keywords.py first seen with mtime 1742674081.0
File /usr/local/lib/python3.10/site-packages/colorama/__init__.py first seen with mtime 1742674082.0
File /usr/local/lib/python3.10/site-packages/django/forms/widgets.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/views/generic/edit.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/backends/postgresql/features.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/backends/base/client.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/re.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/hashlib.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/contrib/sites/requests.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/contrib/auth/forms.py first seen with mtime 1742674085.0
File /usr/local/lib/python3.10/lib-dynload/_queue.cpython-310-aarch64-linux-gnu.so first seen with mtime 1742260528.0
File /usr/local/lib/python3.10/site-packages/django/db/models/deletion.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/backends/postgresql/base.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/lib-dynload/_blake2.cpython-310-aarch64-linux-gnu.so first seen with mtime 1742260534.0
File /usr/local/lib/python3.10/email/mime/message.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/ast.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/contrib/admin/decorators.py first seen with mtime 1742674085.0
File /usr/local/lib/python3.10/quopri.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/sqlparse/engine/filter_stack.py first seen with mtime 1742674081.0
File /usr/local/lib/python3.10/site-packages/django/contrib/auth/middleware.py first seen with mtime 1742674085.0
File /usr/local/lib/python3.10/site-packages/django/core/mail/utils.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/ctypes/__init__.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/uuid.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/contrib/contenttypes/fields.py first seen with mtime 1742674085.0
File /usr/local/lib/python3.10/email/headerregistry.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/string.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/contrib/messages/storage/base.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/ctypes/_endian.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/db/models/functions/datetime.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/utils/dateparse.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/models/fields/related.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/copyreg.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/keyword.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/lib-dynload/_socket.cpython-310-aarch64-linux-gnu.so first seen with mtime 1742260533.0
File /usr/local/lib/python3.10/sre_parse.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/urls/conf.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/backends/postgresql/introspection.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/migrations/operations/base.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/struct.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/secrets.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/psycopg2/__init__.py first seen with mtime 1742674081.0
File /usr/local/lib/python3.10/site-packages/django/utils/tree.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/core/files/images.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/_sitebuiltins.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/templatetags/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/contextvars.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/asyncio/log.py first seen with mtime 1742260550.0
File /app/taskmanager/tasks/models.py first seen with mtime 1742669987.644248
File /usr/local/lib/python3.10/site-packages/django/db/backends/base/schema.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/psycopg2/_json.py first seen with mtime 1742674081.0
File /usr/local/lib/python3.10/site-packages/django/template/backends/base.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/lib-dynload/_lzma.cpython-310-aarch64-linux-gnu.so first seen with mtime 1742260534.0
File /usr/local/lib/python3.10/site-packages/django/db/models/fields/mixins.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/utils/datastructures.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/sqlparse/lexer.py first seen with mtime 1742674081.0
File /usr/local/lib/python3.10/site-packages/django/http/request.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/utils/autoreload.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/core/checks/compatibility/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/models/expressions.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/json/encoder.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/contrib/admin/templatetags/__init__.py first seen with mtime 1742674085.0
File /usr/local/lib/python3.10/_weakrefset.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/contrib/staticfiles/utils.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/core/checks/registry.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/contrib/messages/utils.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/utils.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/email/mime/text.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/lib-dynload/array.cpython-310-aarch64-linux-gnu.so first seen with mtime 1742260527.0
File /usr/local/lib/python3.10/dis.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/db/models/fields/proxy.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/sre_compile.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/core/files/base.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/concurrent/futures/__init__.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/urllib/parse.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/db/models/functions/comparison.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/core/cache/backends/filebased.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/migrations/operations/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/lib-dynload/_posixsubprocess.cpython-310-aarch64-linux-gnu.so first seen with mtime 1742260529.0
File /usr/local/lib/python3.10/site-packages/django/contrib/messages/api.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/models/fields/files.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/utils/crypto.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/views/generic/base.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/subprocess.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/template/defaulttags.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/utils/dateformat.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/backends/signals.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/asyncio/tasks.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/logging/config.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/asyncio/exceptions.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/sqlparse/sql.py first seen with mtime 1742674081.0
File /usr/local/lib/python3.10/opcode.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/template/exceptions.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/stat.py first seen with mtime 1742260550.0
File /app/taskmanager/tasks/admin.py first seen with mtime 1742669987.643972
File /usr/local/lib/python3.10/site-packages/sqlparse/engine/__init__.py first seen with mtime 1742674081.0
File /usr/local/lib/python3.10/asyncio/base_futures.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/utils/regex_helper.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/html/entities.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/core/serializers/base.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/models/functions/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/asgiref/__init__.py first seen with mtime 1742674084.0
File /usr/local/lib/python3.10/site-packages/django/contrib/contenttypes/admin.py first seen with mtime 1742674085.0
File /usr/local/lib/python3.10/zoneinfo/_common.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/templatetags/static.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/lib-dynload/_uuid.cpython-310-aarch64-linux-gnu.so first seen with mtime 1742260536.0
File /usr/local/lib/python3.10/signal.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/contrib/admin/helpers.py first seen with mtime 1742674085.0
File /usr/local/lib/python3.10/json/scanner.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/db/models/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/core/cache/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/http/cookie.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/template/loader.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/concurrent/futures/_base.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/views/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/contrib/staticfiles/management/commands/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/sqlparse/filters/output.py first seen with mtime 1742674081.0
File /usr/local/lib/python3.10/site-packages/django/utils/ipv6.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/concurrent/__init__.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/template/library.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/lib-dynload/fcntl.cpython-310-aarch64-linux-gnu.so first seen with mtime 1742260528.0
File /usr/local/lib/python3.10/site-packages/django/db/backends/postgresql/operations.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/migrations/utils.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/weakref.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/db/migrations/operations/special.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/core/validators.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/warnings.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/core/serializers/json.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/urls/exceptions.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/token.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/asyncio/locks.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/contrib/admin/templatetags/admin_urls.py first seen with mtime 1742674085.0
File /usr/local/lib/python3.10/site-packages/django/utils/termcolors.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/models/functions/math.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/contrib/sessions/middleware.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/asyncio/futures.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/asyncio/trsock.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/views/decorators/common.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/contrib/admin/options.py first seen with mtime 1742674085.0
File /usr/local/lib/python3.10/site-packages/django/core/files/storage/base.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/views/generic/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/_collections_abc.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/forms/utils.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/sqlparse/filters/right_margin.py first seen with mtime 1742674081.0
File /usr/local/lib/python3.10/lzma.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/utils/functional.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/apps/__init__.py first seen with mtime 1742674084.0
(0.007) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
File /usr/local/lib/python3.10/site-packages/django/contrib/admin/views/__init__.py first seen with mtime 1742674085.0
File /usr/local/lib/python3.10/dataclasses.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/core/serializers/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/asyncio/sslproto.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/core/checks/security/base.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/contrib/admin/widgets.py first seen with mtime 1742674085.0
File /usr/local/lib/python3.10/site-packages/django/contrib/contenttypes/checks.py first seen with mtime 1742674085.0
File /usr/local/lib/python3.10/site-packages/django/core/handlers/asgi.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/json/__init__.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/collections/__init__.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/encodings/utf_8.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/contrib/auth/apps.py first seen with mtime 1742674085.0
File /usr/local/lib/python3.10/site-packages/django/db/models/aggregates.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/templatetags/i18n.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/zoneinfo/__init__.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/argparse.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/zoneinfo/_tzpath.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/email/message.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/sqlparse/cli.py first seen with mtime 1742674081.0
File /usr/local/lib/python3.10/asyncio/threads.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/gzip.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/db/backends/postgresql/client.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/heapq.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/db/__init__.py first seen with mtime 1742674086.0
(0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
File /usr/local/lib/python3.10/email/quoprimime.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/sqlparse/exceptions.py first seen with mtime 1742674081.0
File /usr/local/lib/python3.10/lib-dynload/_random.cpython-310-aarch64-linux-gnu.so first seen with mtime 1742260526.0
File /usr/local/lib/python3.10/inspect.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/middleware/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/lib-dynload/_datetime.cpython-310-aarch64-linux-gnu.so first seen with mtime 1742260529.0
File /usr/local/lib/python3.10/site-packages/django/core/management/base.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/views/static.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/template/loaders/base.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/asyncio/format_helpers.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/core/handlers/base.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/models/fields/related_descriptors.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/utils/deprecation.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/models/constraints.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/template/base.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/backends/base/creation.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/encodings/aliases.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/contrib/contenttypes/forms.py first seen with mtime 1742674085.0
File /usr/local/lib/python3.10/io.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/db/transaction.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/sre_constants.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/asyncio/selector_events.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/asyncio/streams.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/enum.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/email/utils.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/numbers.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/contrib/auth/validators.py first seen with mtime 1742674085.0
File /usr/local/lib/python3.10/wsgiref/simple_server.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/lib-dynload/_struct.cpython-310-aarch64-linux-gnu.so first seen with mtime 1742260527.0
File /usr/local/lib/python3.10/lib-dynload/_bz2.cpython-310-aarch64-linux-gnu.so first seen with mtime 1742260534.0
File /usr/local/lib/python3.10/site-packages/django/core/checks/security/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/core/wsgi.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/views/debug.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/utils/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/logging/handlers.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/threading.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/asyncio/queues.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/contrib/admin/checks.py first seen with mtime 1742674085.0
File /usr/local/lib/python3.10/selectors.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/core/checks/translation.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/email/generator.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/email/mime/multipart.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/db/migrations/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/functools.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/core/management/commands/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/models/utils.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/os.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/core/cache/utils.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/urllib/__init__.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/urls/base.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/contrib/contenttypes/management/__init__.py first seen with mtime 1742674085.0
File /usr/local/lib/python3.10/lib-dynload/select.cpython-310-aarch64-linux-gnu.so first seen with mtime 1742260529.0
File /usr/local/lib/python3.10/site-packages/django/contrib/auth/hashers.py first seen with mtime 1742674085.0
File /usr/local/lib/python3.10/site-packages/django/db/migrations/state.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/typing.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/html/__init__.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/contrib/staticfiles/management/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/utils/timesince.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/conf/locale/__init__.py first seen with mtime 1742674084.0
File /usr/local/lib/python3.10/site-packages/django/core/files/locks.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/core/management/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/template/backends/django.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/template/loaders/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/models/query_utils.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/pkgutil.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/core/files/storage/handler.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/views/i18n.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/migrations/operations/models.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/contextlib.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/psycopg2/extensions.py first seen with mtime 1742674081.0
File /usr/local/lib/python3.10/site-packages/django/forms/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/core/files/temp.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/asyncio/__init__.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/db/models/signals.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/models/functions/mixins.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/core/files/utils.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/views/generic/dates.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/models/fields/reverse_related.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/asyncio/constants.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/db/models/functions/window.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/dispatch/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/lib-dynload/_json.cpython-310-aarch64-linux-gnu.so first seen with mtime 1742260528.0
File /usr/local/lib/python3.10/site-packages/psycopg2/sql.py first seen with mtime 1742674081.0
